original_val,count
1,5615144
2,1583772
3,721804
4,450241
5,388415
6,211303
7,179465
8,137351
9,95104
10,80408
11,56900
12,51880
13,43944
14,31919
15,27037
16,21994
17,20330
18,16935
19,13468
20,11395
21,10712
22,8335
23,7322
24,6615
25,6083
26,5169
27,4106
28,3693
29,3624
30,2950
31,2863
32,2453
33,2197
34,2025
35,1633
36,1638
37,1402
38,1394
39,1182
40,1017
41,1028
42,895
43,839
44,831
45,777
46,682
47,612
48,632
49,571
50,566
51,473
52,421
53,457
54,385
55,429
56,382
57,401
58,356
59,314
60,313
61,316
62,298
63,303
64,286
65,291
66,250
67,232
68,231
69,191
70,183
71,181
72,193
73,155
74,150
75,147
76,138
77,123
78,126
79,117
80,103
81,92
82,91
83,101
84,96
85,82
86,78
87,69
88,63
89,85
90,55
91,65
92,56
93,53
94,61
95,53
96,42
97,49
98,40
99,51
100,45
101,44
102,37
103,33
104,34
105,35
106,48
107,35
108,31
109,32
110,27
111,43
112,35
113,33
114,38
115,41
116,44
117,40
118,31
119,36
120,48
121,46
122,43
123,33
124,25
125,27
126,20
127,17
128,12
129,12
130,16
131,14
132,18
133,19
134,12
135,25
136,11
137,12
138,8
139,8
140,5
141,5
142,7
143,5
144,8
145,6
146,4
147,5
148,6
149,7
150,10
151,9
152,7
153,8
154,12
155,7
156,13
157,14
158,9
159,7
160,7
161,5
162,7
163,2
164,2
165,5
166,6
167,5
169,1
172,4
173,2
174,3
175,2
176,2
177,1
179,3
182,2
183,7
184,5
186,1
188,7
189,4
195,1
196,5
197,2
198,2
199,4
200,4
201,9
202,9
203,6
204,6
205,4
206,2
207,4
208,4
209,3
210,2
211,1
212,1
213,2
214,3
215,5
216,5
217,2
218,7
219,5
220,4
221,10
222,7
223,8
224,3
225,5
226,3
227,3
228,1
229,1
231,1
233,1
234,1
236,1
237,1
238,1
239,2
242,1
244,1
245,1
247,2
249,1
250,3
251,2
252,1
253,2
258,1
259,1
270,2
271,2
273,1
274,2
275,5
276,1
